@relation R_data_frame

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
110499.735409,0,54,level3,car15,zipcode5,135000,30,354724.18253,?,1,1
140893.779095,0,44,level4,car20,zipcode8,135000,2,395015.33902,?,2,2
119159.651677,0,49,level2,car1,zipcode4,135000,22,122025.085242,?,3,3
20000,52593.636537,56,level0,car9,zipcode2,135000,30,99629.621457,?,4,4
93956.320488,0,59,level1,car15,zipcode2,135000,1,458679.826238,?,5,5
41365.433275,52809.153761,71,level2,car7,zipcode3,135000,19,216839.71522,?,6,6
94805.611125,0,32,level1,car17,zipcode2,135000,23,233216.070671,?,7,7
34410.627599,39884.39038,33,level4,car17,zipcode1,135000,6,450707.381211,?,8,8
128298.821205,0,32,level1,car19,zipcode3,135000,12,20768.06415,?,9,9
100806.920851,0,58,level2,car8,zipcode5,135000,6,293106.654574,?,10,10
49863.409639,57814.619316,22,level1,car12,zipcode2,135000,12,156086.686705,?,11,11
94554.188041,0,47,level4,car12,zipcode3,135000,4,100467.990035,?,12,12
79637.658225,0,41,level2,car1,zipcode4,135000,6,387564.547558,?,13,13
87085.578949,0,40,level4,car9,zipcode3,135000,19,458378.00043,?,14,14
126945.666346,0,62,level3,car4,zipcode5,135000,23,211178.901443,?,15,15
29080.920827,53569.29067,58,level1,car13,zipcode4,135000,17,29965.975174,?,16,16
147561.725782,0,28,level4,car6,zipcode9,98520.657576,22,322196.314681,?,17,17
72346.052005,37970.09814,37,level3,car15,zipcode9,102562.128342,10,403166.447041,?,18,18
52129.771951,29213.60412,44,level3,car9,zipcode7,135000,29,73639.458926,?,19,19
