@relation R_data_frame

@attribute Year numeric
@attribute Month numeric
@attribute DayofMonth numeric
@attribute DayOfWeek numeric
@attribute UniqueCarrier {9E,AA,CO,DL,EV,F9,FL,MQ,NW,OH,OO,UA,US,XE,YV}
@attribute CRSArrTime numeric
@attribute CRSDepTime numeric
@attribute CRSElapsedTime numeric
@attribute Origin {ABE,ABQ,ABY,ACY,AEX,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BMI,BNA,BOS,BQK,BTR,BTV,BUF,BWI,BZN,CAE,CAK,CHA,CHO,CHS,CID,CLE,CLT,CMH,COS,CRP,CRW,CSG,CVG,DAB,DAY,DCA,DEN,DFW,DHN,DSM,DTW,EGE,ELP,EVV,EWN,EWR,EYW,FAY,FLL,FLO,FNT,FSD,FSM,FWA,GNV,GPT,GRB,GRK,GRR,GSO,GSP,GTR,HDN,HHH,HNL,HOU,HPN,HSV,IAD,IAH,ICT,ILM,IND,ISP,JAC,JAN,JAX,JFK,LAS,LAX,LEX,LFT,LGA,LIT,LYH,MCI,MCN,MCO,MDT,MDW,MEI,MEM,MFE,MGM,MHT,MIA,MKE,MLB,MLI,MLU,MOB,MSN,MSP,MSY,MTJ,MYR,OAJ,OAK,OKC,OMA,ONT,ORD,ORF,PBI,PDX,PFN,PHF,PHL,PHX,PIA,PIT,PNS,PVD,PWM,RDU,RIC,RNO,ROA,ROC,RSW,SAN,SAT,SAV,SBN,SCE,SDF,SEA,SFO,SGF,SHV,SJC,SJU,SLC,SMF,SNA,SRQ,STL,STT,STX,SWF,SYR,TLH,TOL,TPA,TRI,TUL,TUP,TUS,TYS,VLD,VPS,XNA}
@attribute Distance numeric
@attribute ValueToPredict {before_time,delayed,on_time}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
2008,1,1,2,DL,607,1635,512,HNL,4502,?,1,1295
2008,1,1,2,US,134,1951,223,PHX,1587,?,2,1311
2008,1,1,2,AA,20,2130,110,DFW,732,?,3,1350
2008,1,1,2,DL,844,1900,524,HNL,4502,?,4,1440
2008,1,1,2,AA,20,2130,110,DFW,732,delayed,3,1471
2008,1,1,2,FL,438,2145,233,LAX,1946,?,5,1485
2008,1,1,2,DL,537,2210,267,SJC,2116,?,6,1510
2008,1,1,2,DL,535,2210,265,PDX,2172,?,7,1510
2008,1,1,2,DL,543,2220,263,SFO,2139,?,8,1520
2008,1,1,2,FL,523,2225,238,SAN,1891,?,9,1525
2008,1,1,2,DL,601,2230,271,SEA,2182,?,10,1530
2008,1,1,2,FL,529,2235,234,SFO,2139,?,11,1535
2008,1,1,2,DL,603,2235,268,OAK,2130,?,12,1535
2008,1,1,2,FL,532,2240,232,LAS,1747,?,13,1540
2008,1,1,2,DL,540,2240,240,SAN,1891,?,14,1540
2008,1,1,2,DL,556,2250,246,LAX,1946,?,15,1550
2008,1,1,2,US,134,1951,223,PHX,1587,delayed,2,1553
2008,1,1,2,DL,533,2255,218,LAS,1747,?,16,1555
2008,1,1,2,FL,558,2359,239,PHX,1587,?,17,1559
2008,1,1,2,DL,520,2359,201,SLC,1589,?,18,1559
2008,1,1,2,DL,625,2309,256,SMF,2092,?,19,1569
2008,1,1,2,DL,612,2320,232,ONT,1900,?,20,1580
2008,1,1,2,DL,612,45,207,PHX,1587,?,21,1605
2008,1,1,2,DL,657,2350,247,LAX,1946,?,22,1610
2008,1,1,2,DL,533,55,158,DEN,1199,?,23,1615
2008,1,1,2,US,729,2359,270,LAS,1747,?,24,1619
2008,1,1,2,DL,623,145,158,DEN,1199,?,25,1665
2008,1,1,2,DL,803,55,248,LAX,1946,?,26,1675
2008,1,1,2,FL,438,2145,233,LAX,1946,on_time,5,1716
2008,1,1,2,FL,558,2359,239,PHX,1587,before_time,17,1753
2008,1,1,2,FL,523,2225,238,SAN,1891,on_time,9,1757
2008,1,1,2,DL,520,2359,201,SLC,1589,on_time,18,1759
2008,1,1,2,DL,533,55,158,DEN,1199,on_time,23,1763
2008,1,1,2,FL,729,525,124,FNT,644,?,27,1765
2008,1,1,2,DL,535,2210,265,PDX,2172,on_time,7,1770
2008,1,1,2,DL,533,2255,218,LAS,1747,on_time,16,1771
2008,1,1,2,DL,540,2240,240,SAN,1891,on_time,14,1777
2008,1,1,2,FL,730,540,110,FLL,581,?,28,1780
2008,1,1,2,FL,730,544,106,PHF,508,?,29,1784
2008,1,1,2,DL,543,2220,263,SFO,2139,on_time,8,1788
2008,1,1,2,FL,730,550,100,CAK,528,?,30,1790
2008,1,1,2,DL,603,2235,268,OAK,2130,before_time,12,1791
2008,1,1,2,DL,537,2210,267,SJC,2116,delayed,6,1793
2008,1,1,2,FL,730,555,95,DAY,432,?,31,1795
2008,1,1,2,DL,612,45,207,PHX,1587,before_time,21,1796
2008,1,1,2,DL,601,2230,271,SEA,2182,on_time,10,1798
2008,1,1,2,OO,701,600,61,GSP,153,?,32,1800
2008,1,1,2,EV,804,600,124,MDT,619,?,33,1800
2008,1,1,2,EV,718,600,78,SDF,321,?,34,1800
2008,1,1,2,EV,841,600,161,EWR,745,?,35,1800
2008,1,1,2,EV,751,600,111,PIT,526,?,36,1800
2008,1,1,2,EV,648,600,48,AGS,143,?,37,1800
2008,1,1,2,FL,844,600,164,BOS,946,?,38,1800
2008,1,1,2,FL,818,600,138,EWR,745,?,39,1800
2008,1,1,2,FL,821,600,141,HPN,780,?,40,1800
2008,1,1,2,FL,730,600,90,IND,432,?,41,1800
2008,1,1,2,FL,830,600,150,LGA,761,?,42,1800
2008,1,1,2,FL,727,600,87,MCO,403,?,43,1800
2008,1,1,2,FL,819,600,139,SWF,784,?,44,1800
2008,1,1,2,FL,729,600,89,TPA,406,?,45,1800
2008,1,1,2,DL,822,600,142,PHL,665,?,46,1800
2008,1,1,2,DL,753,600,113,MIA,595,?,47,1800
2008,1,1,2,DL,748,600,108,FLL,581,?,48,1800
2008,1,1,2,DL,845,600,165,BDL,859,?,49,1800
2008,1,1,2,DL,758,600,118,IAD,533,?,50,1800
2008,1,1,2,DL,836,600,156,JFK,760,?,51,1800
2008,1,1,2,DL,746,600,106,RIC,481,?,52,1800
2008,1,1,2,DL,817,600,137,ROC,749,?,53,1800
2008,1,1,2,DL,724,600,84,RDU,356,?,54,1800
2008,1,1,2,DL,556,2250,246,LAX,1946,on_time,15,1801
2008,1,1,2,FL,725,605,80,RDU,356,?,55,1805
2008,1,1,2,OH,908,605,183,MHT,952,?,56,1805
2008,1,1,2,EV,701,610,51,TYS,152,?,57,1810
2008,1,1,2,FL,717,610,67,CLT,227,?,58,1810
2008,1,1,2,FL,821,610,131,ROC,749,?,59,1810
2008,1,1,2,OH,734,610,84,LEX,303,?,60,1810
2008,1,1,2,OH,731,610,81,GSO,306,?,61,1810
2008,1,1,2,DL,748,610,98,SRQ,445,?,62,1810
2008,1,1,2,FL,532,2240,232,LAS,1747,delayed,13,1810
2008,1,1,2,DL,625,2309,256,SMF,2092,before_time,19,1811
2008,1,1,2,DL,607,1635,512,HNL,4502,on_time,1,1813
2008,1,1,2,EV,740,615,85,ROA,357,?,63,1815
2008,1,1,2,EV,818,615,123,SBN,566,?,64,1815
2008,1,1,2,DL,834,615,139,BUF,712,?,65,1815
2008,1,1,2,DL,623,145,158,DEN,1199,on_time,25,1815
2008,1,1,2,FL,529,2235,234,SFO,2139,delayed,11,1818
2008,1,1,2,FL,825,620,125,BUF,712,?,66,1820
2008,1,1,2,FL,729,620,69,JAX,270,?,67,1820
2008,1,1,2,EV,900,630,150,SYR,793,?,68,1830
2008,1,1,2,EV,807,630,97,OAJ,399,?,69,1830
2008,1,1,2,FL,827,630,117,DTW,594,?,70,1830
2008,1,1,2,FL,832,630,122,PHL,665,?,71,1830
2008,1,1,2,DL,858,530,148,MSP,906,?,72,1830
2008,1,1,2,DL,612,2320,232,ONT,1900,delayed,20,1832
2008,1,1,2,EV,930,635,175,BTV,960,?,73,1835
2008,1,1,2,FL,832,640,112,BWI,576,?,74,1840
2008,1,1,2,FL,840,540,120,DFW,732,?,75,1840
2008,1,1,2,FL,827,640,107,IAD,533,?,76,1840
2008,1,1,2,FL,829,540,109,MLI,633,?,77,1840
2008,1,1,2,FL,821,640,101,RIC,481,?,78,1840
2008,1,1,2,EV,648,600,48,AGS,143,on_time,37,1840
2008,1,1,2,EV,857,545,132,SAT,874,?,79,1845
2008,1,1,2,FL,835,645,110,FLL,581,?,80,1845
2008,1,1,2,FL,840,545,115,HOU,696,?,81,1845
2008,1,1,2,FL,830,545,105,MDW,590,?,82,1845
2008,1,1,2,FL,827,645,102,PIT,526,?,83,1845
2008,1,1,2,OO,701,600,61,GSP,153,on_time,32,1854
2008,1,1,2,EV,701,610,51,TYS,152,on_time,57,1856
2008,1,1,2,FL,929,659,150,LGA,761,?,84,1859
2008,1,1,2,DL,939,659,160,LGA,761,?,85,1859
2008,1,1,2,OO,910,600,130,MKE,669,?,86,1860
2008,1,1,2,OO,825,600,85,MEM,332,?,87,1860
2008,1,1,2,EV,754,600,54,DHN,171,?,88,1860
2008,1,1,2,EV,812,600,72,BNA,214,?,89,1860
2008,1,1,2,EV,829,600,89,BTR,449,?,90,1860
2008,1,1,2,EV,859,600,119,MLI,633,?,91,1860
2008,1,1,2,EV,820,600,80,GPT,352,?,92,1860
2008,1,1,2,EV,849,600,109,PIA,564,?,93,1860
2008,1,1,2,EV,843,600,103,XNA,589,?,94,1860
2008,1,1,2,EV,916,600,136,DSM,743,?,95,1860
2008,1,1,2,EV,759,600,59,PFN,247,?,96,1860
2008,1,1,2,EV,853,600,113,TUL,674,?,97,1860
2008,1,1,2,EV,926,700,146,AVP,714,?,98,1860
2008,1,1,2,EV,848,600,108,SHV,552,?,99,1860
2008,1,1,2,EV,833,600,93,LIT,453,?,100,1860
2008,1,1,2,EV,747,700,47,MCN,79,?,101,1860
2008,1,1,2,FL,839,600,99,BMI,533,?,102,1860
2008,1,1,2,FL,827,700,87,MCO,403,?,103,1860
2008,1,1,2,FL,858,600,118,MKE,669,?,104,1860
2008,1,1,2,FL,829,700,89,TPA,406,?,105,1860
2008,1,1,2,OH,844,700,104,DAY,432,?,106,1860
2008,1,1,2,DL,903,700,123,DCA,547,?,107,1860
2008,1,1,2,DL,1055,800,235,SJU,1547,?,108,1860
2008,1,1,2,DL,820,700,80,JAX,270,?,109,1860
2008,1,1,2,DL,750,600,50,BHM,134,?,110,1860
2008,1,1,2,DL,853,700,113,PBI,545,?,111,1860
2008,1,1,2,DL,903,700,123,FLL,581,?,112,1860
2008,1,1,2,DL,826,600,86,MSY,425,?,113,1860
2008,1,1,2,DL,901,600,121,ORD,606,?,114,1860
